id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
9719016,2ca2b669-0a9e-4468-bb31-fe76c98f3fad,2018/02/02 3:25 PM EST,2018-02-02,2018-02-02 20:25:00 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13293204/medium.jpeg,"Volusia County, FL, USA",29.0952086002,-80.9735110402,6,,,,6,Turdus migratorius,American Robin
9719175,5df76518-9e7c-4b1b-ad6a-5c4ea93fe153,2018/02/02 3:31 PM EST,2018-02-02,2018-02-02 20:31:00 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13293613/medium.jpeg,"Volusia County, FL, USA",29.0948926115,-80.9737162292,4,,,,4,Turdus migratorius,American Robin
9732273,43c466c7-79f6-4a2d-a8cd-e9d635a7ac3e,Sat Feb 03 2018 13:49:41 GMT-0600 (CST),2018-02-03,2018-02-03 19:49:41 UTC,Central Time (US & Canada),research,https://static.inaturalist.org/photos/13316820/medium.jpg,"6522 Bellingham St, Navarre, FL, US",30.4251216667,-86.9500666667,65,,,,65,Turdus migratorius,American Robin
9742075,4451b2c1-f4e7-401a-8bf2-81fbb571fefd,2018/02/05 1:20 PM EST,2018-02-05,2018-02-05 18:20:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13334584/medium.jpeg,"Gainesville, FL, USA",29.6351116667,-82.369895,,,,,,Turdus migratorius,American Robin
9754943,ab344d1b-cd7e-441a-8f97-6e01073a4850,2018/02/02 10:14 AM EST,2018-02-02,2018-02-02 15:14:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13356480/medium.jpeg,"Putnam County, FL, USA",29.6608412807,-81.9531912166,198,,,,198,Turdus migratorius,American Robin
9757684,7dc32849-e4db-4608-b0ef-c2d752032c94,2018-02-06,2018-02-06,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13361097/medium.jpeg,sherwood stokes preserve,28.117435,-81.54196,,,,,,Turdus migratorius,American Robin
9767196,370565cb-945d-499d-85f7-318e61bac4da,2018-01-24,2018-01-24,,Hawaii,research,https://static.inaturalist.org/photos/13377534/medium.jpg,"Levy County, US-FL, US",29.153772,-83.045442,14,,,,14,Turdus migratorius,American Robin
9767922,80268c46-14ae-4bf5-bc28-9489890fa30c,2018-02-01 6:15:00 PM EST,2018-02-01,2018-02-01 23:15:00 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13378937/medium.jpg,"Inner Rd, Gainesville, FL 32603, USA",29.6472544128,-82.342995666,172,,,,172,Turdus migratorius,American Robin
9781268,a99b3f40-5255-4c7f-85f6-e0b852028cda,Thu Feb 08 2018 11:29:33 GMT-0500 (EST),2018-02-08,2018-02-08 16:29:33 UTC,Eastern Time (US & Canada),casual,,"Alachua County, US-FL, US",29.5865447843,-82.2433525107,165,,,,165,Turdus migratorius,American Robin
9803813,c4a9b020-c97f-4fed-bd9b-f26c75d6e718,2018/02/09,2018-02-09,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13413080/medium.jpeg,"2015 Shumate Dr, Bartow, FL 33830, USA",27.8767098,-81.8413799,185,,,,185,Turdus migratorius,American Robin
9804656,25920581-0ae4-48db-a40d-1ef298c41307,2018/02/09,2018-02-09,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13414745/medium.jpeg,"Polk County, FL, USA",27.8176270361,-81.7926979065,244,,,,244,Turdus migratorius,American Robin
